	SP
120m_SS_I=10_1	0.75
120m_SS_I=10_10	0.75
120m_SS_I=10_11	0.875
120m_SS_I=10_12	0.875
120m_SS_I=10_13	0.875
120m_SS_I=10_14	0.875
120m_SS_I=10_15	1.0
120m_SS_I=10_16	0.25
120m_SS_I=10_17	0.625
120m_SS_I=10_18	0.375
120m_SS_I=10_19	0.625
120m_SS_I=10_2	0.875
120m_SS_I=10_20	0.375
120m_SS_I=10_21	0.75
120m_SS_I=10_3	0.25
120m_SS_I=10_4	0.25
120m_SS_I=10_5	0.75
120m_SS_I=10_6	0.375
120m_SS_I=10_7	0.875
120m_SS_I=10_8	0.75
120m_SS_I=10_9	0.75
120m_SS_I=1_1	0.75
120m_SS_I=1_10	0.75
120m_SS_I=1_11	0.875
120m_SS_I=1_12	0.875
120m_SS_I=1_13	0.875
120m_SS_I=1_14	0.5
120m_SS_I=1_15	1.0
120m_SS_I=1_16	0.625
120m_SS_I=1_17	0.625
120m_SS_I=1_18	0.75
120m_SS_I=1_19	0.625
120m_SS_I=1_2	0.875
120m_SS_I=1_20	0.75
120m_SS_I=1_21	0.75
120m_SS_I=1_3	0.625
120m_SS_I=1_4	0.625
120m_SS_I=1_5	0.75
120m_SS_I=1_6	0.75
120m_SS_I=1_7	0.75
120m_SS_I=1_8	0.75
120m_SS_I=1_9	0.75
120m_SS_I=200_1	0.75
120m_SS_I=200_10	0.75
120m_SS_I=200_11	0.875
120m_SS_I=200_12	0.875
120m_SS_I=200_13	0.875
120m_SS_I=200_14	0.875
120m_SS_I=200_15	1.0
120m_SS_I=200_16	0.25
120m_SS_I=200_17	0.625
120m_SS_I=200_18	0.375
120m_SS_I=200_19	0.625
120m_SS_I=200_2	0.875
120m_SS_I=200_20	0.375
120m_SS_I=200_21	0.875
120m_SS_I=200_3	0.25
120m_SS_I=200_4	0.25
120m_SS_I=200_5	0.75
120m_SS_I=200_6	0.375
120m_SS_I=200_7	0.875
120m_SS_I=200_8	0.75
120m_SS_I=200_9	0.75
120m_SS_I=20_1	0.75
120m_SS_I=20_10	0.75
120m_SS_I=20_11	0.875
120m_SS_I=20_12	0.875
120m_SS_I=20_13	0.875
120m_SS_I=20_14	0.875
120m_SS_I=20_15	1.0
120m_SS_I=20_16	0.25
120m_SS_I=20_17	0.625
120m_SS_I=20_18	0.375
120m_SS_I=20_19	0.625
120m_SS_I=20_2	0.875
120m_SS_I=20_20	0.375
120m_SS_I=20_21	0.75
120m_SS_I=20_3	0.25
120m_SS_I=20_4	0.25
120m_SS_I=20_5	0.75
120m_SS_I=20_6	0.375
120m_SS_I=20_7	0.875
120m_SS_I=20_8	0.75
120m_SS_I=20_9	0.75
120m_SS_I=400_1	0.75
120m_SS_I=400_10	0.75
120m_SS_I=400_11	0.75
120m_SS_I=400_12	0.875
120m_SS_I=400_13	0.875
120m_SS_I=400_14	0.875
120m_SS_I=400_15	1.0
120m_SS_I=400_16	0.25
120m_SS_I=400_17	0.625
120m_SS_I=400_18	0.375
120m_SS_I=400_19	0.625
120m_SS_I=400_2	0.875
120m_SS_I=400_20	0.375
120m_SS_I=400_21	0.875
120m_SS_I=400_3	0.25
120m_SS_I=400_4	0.25
120m_SS_I=400_5	0.75
120m_SS_I=400_6	0.375
120m_SS_I=400_7	0.875
120m_SS_I=400_8	0.75
120m_SS_I=400_9	0.75
120m_SS_I=50_1	0.75
120m_SS_I=50_10	0.75
120m_SS_I=50_11	0.875
120m_SS_I=50_12	0.875
120m_SS_I=50_13	0.875
120m_SS_I=50_14	0.875
120m_SS_I=50_15	1.0
120m_SS_I=50_16	0.25
120m_SS_I=50_17	0.625
120m_SS_I=50_18	0.375
120m_SS_I=50_19	0.625
120m_SS_I=50_2	0.875
120m_SS_I=50_20	0.375
120m_SS_I=50_21	0.75
120m_SS_I=50_3	0.25
120m_SS_I=50_4	0.25
120m_SS_I=50_5	0.75
120m_SS_I=50_6	0.375
120m_SS_I=50_7	0.875
120m_SS_I=50_8	0.75
120m_SS_I=50_9	0.75
120m_SS_I=800_1	0.75
120m_SS_I=800_10	0.75
120m_SS_I=800_11	0.75
120m_SS_I=800_12	0.875
120m_SS_I=800_13	0.875
120m_SS_I=800_14	0.875
120m_SS_I=800_15	1.0
120m_SS_I=800_16	0.25
120m_SS_I=800_17	0.625
120m_SS_I=800_18	0.375
120m_SS_I=800_19	0.625
120m_SS_I=800_2	0.875
120m_SS_I=800_20	0.375
120m_SS_I=800_21	0.875
120m_SS_I=800_3	0.25
120m_SS_I=800_4	0.25
120m_SS_I=800_5	0.75
120m_SS_I=800_6	0.375
120m_SS_I=800_7	0.875
120m_SS_I=800_8	0.75
120m_SS_I=800_9	0.75
180m_AUC_I=100_1	0.75
180m_AUC_I=100_10	0.75
180m_AUC_I=100_11	0.75
180m_AUC_I=100_12	0.875
180m_AUC_I=100_13	0.875
180m_AUC_I=100_14	0.875
180m_AUC_I=100_15	1.0
180m_AUC_I=100_16	0.25
180m_AUC_I=100_17	0.625
180m_AUC_I=100_18	0.375
180m_AUC_I=100_19	0.625
180m_AUC_I=100_2	0.875
180m_AUC_I=100_20	0.375
180m_AUC_I=100_21	0.875
180m_AUC_I=100_3	0.25
180m_AUC_I=100_4	0.25
180m_AUC_I=100_5	0.75
180m_AUC_I=100_6	0.375
180m_AUC_I=100_7	0.875
180m_AUC_I=100_8	0.625
180m_AUC_I=100_9	0.75
180m_AUC_I=10_1	0.75
180m_AUC_I=10_10	0.75
180m_AUC_I=10_11	0.875
180m_AUC_I=10_12	0.875
180m_AUC_I=10_13	0.875
180m_AUC_I=10_14	0.875
180m_AUC_I=10_15	1.0
180m_AUC_I=10_16	0.25
180m_AUC_I=10_17	0.625
180m_AUC_I=10_18	0.375
180m_AUC_I=10_19	0.625
180m_AUC_I=10_2	0.875
180m_AUC_I=10_20	0.375
180m_AUC_I=10_21	0.75
180m_AUC_I=10_3	0.25
180m_AUC_I=10_4	0.25
180m_AUC_I=10_5	0.75
180m_AUC_I=10_6	0.375
180m_AUC_I=10_7	0.875
180m_AUC_I=10_8	0.75
180m_AUC_I=10_9	0.75
180m_AUC_I=1_1	0.75
180m_AUC_I=1_10	0.75
180m_AUC_I=1_11	0.875
180m_AUC_I=1_12	0.875
180m_AUC_I=1_13	0.875
180m_AUC_I=1_14	0.875
180m_AUC_I=1_15	1.0
180m_AUC_I=1_16	0.5
180m_AUC_I=1_17	0.625
180m_AUC_I=1_18	0.625
180m_AUC_I=1_19	0.625
180m_AUC_I=1_2	0.875
180m_AUC_I=1_20	0.625
180m_AUC_I=1_21	0.75
180m_AUC_I=1_3	0.5
180m_AUC_I=1_4	0.5
180m_AUC_I=1_5	0.75
180m_AUC_I=1_6	0.625
180m_AUC_I=1_7	0.75
180m_AUC_I=1_8	0.75
180m_AUC_I=1_9	0.75
180m_AUC_I=200_1	0.75
180m_AUC_I=200_10	0.75
180m_AUC_I=200_11	0.75
180m_AUC_I=200_12	0.875
180m_AUC_I=200_13	0.875
180m_AUC_I=200_14	0.875
180m_AUC_I=200_15	1.0
180m_AUC_I=200_16	0.25
180m_AUC_I=200_17	0.625
180m_AUC_I=200_18	0.375
180m_AUC_I=200_19	0.625
180m_AUC_I=200_2	0.875
180m_AUC_I=200_20	0.375
180m_AUC_I=200_21	0.875
180m_AUC_I=200_3	0.25
180m_AUC_I=200_4	0.25
180m_AUC_I=200_5	0.75
180m_AUC_I=200_6	0.375
180m_AUC_I=200_7	0.875
180m_AUC_I=200_8	0.625
180m_AUC_I=200_9	0.625
180m_AUC_I=20_1	0.75
180m_AUC_I=20_10	0.75
180m_AUC_I=20_11	0.875
180m_AUC_I=20_12	0.875
180m_AUC_I=20_13	0.875
180m_AUC_I=20_14	0.875
180m_AUC_I=20_15	1.0
180m_AUC_I=20_16	0.25
180m_AUC_I=20_17	0.625
180m_AUC_I=20_18	0.375
180m_AUC_I=20_19	0.625
180m_AUC_I=20_2	0.875
180m_AUC_I=20_20	0.375
180m_AUC_I=20_21	0.75
180m_AUC_I=20_3	0.25
180m_AUC_I=20_4	0.25
180m_AUC_I=20_5	0.75
180m_AUC_I=20_6	0.375
180m_AUC_I=20_7	0.875
180m_AUC_I=20_8	0.75
180m_AUC_I=20_9	0.75
180m_AUC_I=400_1	0.75
180m_AUC_I=400_10	0.75
180m_AUC_I=400_11	0.75
180m_AUC_I=400_12	0.875
180m_AUC_I=400_13	0.875
180m_AUC_I=400_14	0.875
180m_AUC_I=400_15	1.0
180m_AUC_I=400_16	0.25
180m_AUC_I=400_17	0.75
180m_AUC_I=400_18	0.375
180m_AUC_I=400_19	0.625
180m_AUC_I=400_2	0.875
180m_AUC_I=400_20	0.375
180m_AUC_I=400_21	0.875
180m_AUC_I=400_3	0.25
180m_AUC_I=400_4	0.25
180m_AUC_I=400_5	0.75
180m_AUC_I=400_6	0.375
180m_AUC_I=400_7	0.875
180m_AUC_I=400_8	0.625
180m_AUC_I=400_9	0.625
180m_AUC_I=50_1	0.75
180m_AUC_I=50_10	0.75
180m_AUC_I=50_11	0.875
180m_AUC_I=50_12	0.875
180m_AUC_I=50_13	0.875
180m_AUC_I=50_14	0.875
180m_AUC_I=50_15	1.0
180m_AUC_I=50_16	0.25
180m_AUC_I=50_17	0.625
180m_AUC_I=50_18	0.375
180m_AUC_I=50_19	0.625
180m_AUC_I=50_2	0.875
180m_AUC_I=50_20	0.375
180m_AUC_I=50_21	0.875
180m_AUC_I=50_3	0.25
180m_AUC_I=50_4	0.25
180m_AUC_I=50_5	0.75
180m_AUC_I=50_6	0.375
180m_AUC_I=50_7	0.875
180m_AUC_I=50_8	0.75
180m_AUC_I=50_9	0.75
180m_AUC_I=800_1	0.75
180m_AUC_I=800_10	0.75
180m_AUC_I=800_11	0.75
180m_AUC_I=800_12	0.875
180m_AUC_I=800_13	0.875
180m_AUC_I=800_14	0.875
180m_AUC_I=800_15	1.0
180m_AUC_I=800_16	0.25
180m_AUC_I=800_17	0.75
180m_AUC_I=800_18	0.375
180m_AUC_I=800_19	0.625
180m_AUC_I=800_2	0.875
180m_AUC_I=800_20	0.375
180m_AUC_I=800_21	0.875
180m_AUC_I=800_3	0.25
180m_AUC_I=800_4	0.25
180m_AUC_I=800_5	0.75
180m_AUC_I=800_6	0.375
180m_AUC_I=800_7	0.875
180m_AUC_I=800_8	0.625
180m_AUC_I=800_9	0.625
180m_SS_I=100_1	0.75
180m_SS_I=100_10	0.75
180m_SS_I=100_11	0.875
180m_SS_I=100_12	0.875
180m_SS_I=100_13	0.875
180m_SS_I=100_14	0.875
180m_SS_I=100_15	1.0
180m_SS_I=100_16	0.25
180m_SS_I=100_17	0.625
180m_SS_I=100_18	0.375
180m_SS_I=100_19	0.625
180m_SS_I=100_2	0.875
180m_SS_I=100_20	0.375
180m_SS_I=100_21	0.75
180m_SS_I=100_3	0.25
180m_SS_I=100_4	0.25
180m_SS_I=100_5	0.75
180m_SS_I=100_6	0.375
180m_SS_I=100_7	0.875
180m_SS_I=100_8	0.75
180m_SS_I=100_9	0.75
180m_SS_I=10_1	0.75
180m_SS_I=10_10	0.875
180m_SS_I=10_11	0.875
180m_SS_I=10_12	0.875
180m_SS_I=10_13	0.875
180m_SS_I=10_14	1.0
180m_SS_I=10_15	1.0
180m_SS_I=10_16	0.5
180m_SS_I=10_17	0.625
180m_SS_I=10_18	0.375
180m_SS_I=10_19	0.625
180m_SS_I=10_2	0.875
180m_SS_I=10_20	0.375
180m_SS_I=10_21	0.75
180m_SS_I=10_3	0.25
180m_SS_I=10_4	0.625
180m_SS_I=10_5	0.75
180m_SS_I=10_6	0.375
180m_SS_I=10_7	0.75
180m_SS_I=10_8	0.75
180m_SS_I=10_9	0.875
180m_SS_I=1_1	0.75
180m_SS_I=1_10	0.75
180m_SS_I=1_11	0.875
180m_SS_I=1_12	0.875
180m_SS_I=1_13	0.875
180m_SS_I=1_14	0.375
180m_SS_I=1_15	1.0
180m_SS_I=1_16	0.75
180m_SS_I=1_17	0.625
180m_SS_I=1_18	0.875
180m_SS_I=1_19	0.625
180m_SS_I=1_2	0.875
180m_SS_I=1_20	0.875
180m_SS_I=1_21	0.75
180m_SS_I=1_3	0.75
180m_SS_I=1_4	0.75
180m_SS_I=1_5	0.75
180m_SS_I=1_6	0.875
180m_SS_I=1_7	0.75
180m_SS_I=1_8	0.75
180m_SS_I=1_9	0.75
180m_SS_I=200_1	0.75
180m_SS_I=200_10	0.75
180m_SS_I=200_11	0.875
180m_SS_I=200_12	0.875
180m_SS_I=200_13	0.875
180m_SS_I=200_14	0.875
180m_SS_I=200_15	1.0
180m_SS_I=200_16	0.25
180m_SS_I=200_17	0.625
180m_SS_I=200_18	0.375
180m_SS_I=200_19	0.625
180m_SS_I=200_2	0.875
180m_SS_I=200_20	0.375
180m_SS_I=200_21	0.75
180m_SS_I=200_3	0.25
180m_SS_I=200_4	0.25
180m_SS_I=200_5	0.75
180m_SS_I=200_6	0.375
180m_SS_I=200_7	0.875
180m_SS_I=200_8	0.75
180m_SS_I=200_9	0.75
180m_SS_I=20_1	0.75
180m_SS_I=20_10	0.75
180m_SS_I=20_11	0.875
180m_SS_I=20_12	0.875
180m_SS_I=20_13	0.875
180m_SS_I=20_14	0.875
180m_SS_I=20_15	1.0
180m_SS_I=20_16	0.25
180m_SS_I=20_17	0.625
180m_SS_I=20_18	0.375
180m_SS_I=20_19	0.625
180m_SS_I=20_2	0.875
180m_SS_I=20_20	0.375
180m_SS_I=20_21	0.75
180m_SS_I=20_3	0.25
180m_SS_I=20_4	0.25
180m_SS_I=20_5	0.75
180m_SS_I=20_6	0.375
180m_SS_I=20_7	0.75
180m_SS_I=20_8	0.75
180m_SS_I=20_9	0.875
180m_SS_I=400_1	0.75
180m_SS_I=400_10	0.75
180m_SS_I=400_11	0.875
180m_SS_I=400_12	0.875
180m_SS_I=400_13	0.875
180m_SS_I=400_14	0.875
180m_SS_I=400_15	1.0
180m_SS_I=400_16	0.25
180m_SS_I=400_17	0.625
180m_SS_I=400_18	0.375
180m_SS_I=400_19	0.625
180m_SS_I=400_2	0.875
180m_SS_I=400_20	0.375
180m_SS_I=400_21	0.75
180m_SS_I=400_3	0.25
180m_SS_I=400_4	0.25
180m_SS_I=400_5	0.75
180m_SS_I=400_6	0.375
180m_SS_I=400_7	0.875
180m_SS_I=400_8	0.75
180m_SS_I=400_9	0.75
180m_SS_I=50_1	0.75
180m_SS_I=50_10	0.75
180m_SS_I=50_11	0.875
180m_SS_I=50_12	0.875
180m_SS_I=50_13	0.875
180m_SS_I=50_14	0.875
180m_SS_I=50_15	1.0
180m_SS_I=50_16	0.25
180m_SS_I=50_17	0.625
180m_SS_I=50_18	0.375
180m_SS_I=50_19	0.625
180m_SS_I=50_2	0.875
180m_SS_I=50_20	0.375
180m_SS_I=50_21	0.75
180m_SS_I=50_3	0.25
180m_SS_I=50_4	0.25
180m_SS_I=50_5	0.75
180m_SS_I=50_6	0.375
180m_SS_I=50_7	0.75
180m_SS_I=50_8	0.75
180m_SS_I=50_9	0.75
180m_SS_I=800_1	0.75
180m_SS_I=800_10	0.75
180m_SS_I=800_11	0.875
180m_SS_I=800_12	0.875
180m_SS_I=800_13	0.875
180m_SS_I=800_14	0.875
180m_SS_I=800_15	1.0
180m_SS_I=800_16	0.25
180m_SS_I=800_17	0.625
180m_SS_I=800_18	0.375
180m_SS_I=800_19	0.625
180m_SS_I=800_2	0.875
180m_SS_I=800_20	0.375
180m_SS_I=800_21	0.75
180m_SS_I=800_3	0.25
180m_SS_I=800_4	0.25
180m_SS_I=800_5	0.75
180m_SS_I=800_6	0.375
180m_SS_I=800_7	0.875
180m_SS_I=800_8	0.75
180m_SS_I=800_9	0.75
240m_AUC_I=100_1	0.75
240m_AUC_I=100_10	0.75
240m_AUC_I=100_11	0.75
240m_AUC_I=100_12	0.875
240m_AUC_I=100_13	0.875
240m_AUC_I=100_14	0.875
240m_AUC_I=100_15	1.0
240m_AUC_I=100_16	0.25
240m_AUC_I=100_17	0.625
240m_AUC_I=100_18	0.375
240m_AUC_I=100_19	0.625
240m_AUC_I=100_2	0.875
240m_AUC_I=100_20	0.375
240m_AUC_I=100_21	0.875
240m_AUC_I=100_3	0.25
240m_AUC_I=100_4	0.25
240m_AUC_I=100_5	0.75
240m_AUC_I=100_6	0.375
240m_AUC_I=100_7	0.875
240m_AUC_I=100_8	0.75
240m_AUC_I=100_9	0.75
240m_AUC_I=10_1	0.75
240m_AUC_I=10_10	0.75
240m_AUC_I=10_11	0.875
240m_AUC_I=10_12	0.875
240m_AUC_I=10_13	0.875
240m_AUC_I=10_14	0.875
240m_AUC_I=10_15	1.0
240m_AUC_I=10_16	0.25
240m_AUC_I=10_17	0.625
240m_AUC_I=10_18	0.375
240m_AUC_I=10_19	0.625
240m_AUC_I=10_2	0.875
240m_AUC_I=10_20	0.375
240m_AUC_I=10_21	0.75
240m_AUC_I=10_3	0.25
240m_AUC_I=10_4	0.25
240m_AUC_I=10_5	0.75
240m_AUC_I=10_6	0.375
240m_AUC_I=10_7	0.75
240m_AUC_I=10_8	0.75
240m_AUC_I=10_9	0.75
240m_AUC_I=1_1	0.75
240m_AUC_I=1_10	0.75
240m_AUC_I=1_11	0.875
240m_AUC_I=1_12	0.875
240m_AUC_I=1_13	0.875
240m_AUC_I=1_14	0.875
240m_AUC_I=1_15	1.0
240m_AUC_I=1_16	0.625
240m_AUC_I=1_17	0.625
240m_AUC_I=1_18	0.875
240m_AUC_I=1_19	0.625
240m_AUC_I=1_2	0.875
240m_AUC_I=1_20	0.875
240m_AUC_I=1_21	0.75
240m_AUC_I=1_3	0.625
240m_AUC_I=1_4	0.625
240m_AUC_I=1_5	0.75
240m_AUC_I=1_6	0.875
240m_AUC_I=1_7	0.75
240m_AUC_I=1_8	0.75
240m_AUC_I=1_9	0.75
240m_AUC_I=200_1	0.75
240m_AUC_I=200_10	0.75
240m_AUC_I=200_11	0.75
240m_AUC_I=200_12	0.875
240m_AUC_I=200_13	0.875
240m_AUC_I=200_14	0.875
240m_AUC_I=200_15	1.0
240m_AUC_I=200_16	0.25
240m_AUC_I=200_17	0.625
240m_AUC_I=200_18	0.375
240m_AUC_I=200_19	0.625
240m_AUC_I=200_2	0.875
240m_AUC_I=200_20	0.375
240m_AUC_I=200_21	0.875
240m_AUC_I=200_3	0.25
240m_AUC_I=200_4	0.25
240m_AUC_I=200_5	0.75
240m_AUC_I=200_6	0.375
240m_AUC_I=200_7	0.875
240m_AUC_I=200_8	0.625
240m_AUC_I=200_9	0.625
240m_AUC_I=20_1	0.75
240m_AUC_I=20_10	0.75
240m_AUC_I=20_11	0.875
240m_AUC_I=20_12	0.875
240m_AUC_I=20_13	0.875
240m_AUC_I=20_14	0.875
240m_AUC_I=20_15	1.0
240m_AUC_I=20_16	0.25
240m_AUC_I=20_17	0.625
240m_AUC_I=20_18	0.375
240m_AUC_I=20_19	0.625
240m_AUC_I=20_2	0.875
240m_AUC_I=20_20	0.375
240m_AUC_I=20_21	0.75
240m_AUC_I=20_3	0.25
240m_AUC_I=20_4	0.25
240m_AUC_I=20_5	0.75
240m_AUC_I=20_6	0.375
240m_AUC_I=20_7	0.875
240m_AUC_I=20_8	0.75
240m_AUC_I=20_9	0.75
240m_AUC_I=400_1	0.75
240m_AUC_I=400_10	0.75
240m_AUC_I=400_11	0.75
240m_AUC_I=400_12	0.875
240m_AUC_I=400_13	0.875
240m_AUC_I=400_14	0.875
240m_AUC_I=400_15	1.0
240m_AUC_I=400_16	0.25
240m_AUC_I=400_17	0.625
240m_AUC_I=400_18	0.375
240m_AUC_I=400_19	0.625
240m_AUC_I=400_2	0.875
240m_AUC_I=400_20	0.375
240m_AUC_I=400_21	0.875
240m_AUC_I=400_3	0.25
240m_AUC_I=400_4	0.25
240m_AUC_I=400_5	0.75
240m_AUC_I=400_6	0.375
240m_AUC_I=400_7	0.875
240m_AUC_I=400_8	0.625
240m_AUC_I=400_9	0.625
240m_AUC_I=50_1	0.75
240m_AUC_I=50_10	0.75
240m_AUC_I=50_11	0.875
240m_AUC_I=50_12	0.875
240m_AUC_I=50_13	0.875
240m_AUC_I=50_14	0.875
240m_AUC_I=50_15	1.0
240m_AUC_I=50_16	0.25
240m_AUC_I=50_17	0.625
240m_AUC_I=50_18	0.375
240m_AUC_I=50_19	0.625
240m_AUC_I=50_2	0.875
240m_AUC_I=50_20	0.375
240m_AUC_I=50_21	0.75
240m_AUC_I=50_3	0.25
240m_AUC_I=50_4	0.25
240m_AUC_I=50_5	0.75
240m_AUC_I=50_6	0.375
240m_AUC_I=50_7	0.875
240m_AUC_I=50_8	0.75
240m_AUC_I=50_9	0.75
240m_AUC_I=800_1	0.75
240m_AUC_I=800_10	0.75
240m_AUC_I=800_11	0.75
240m_AUC_I=800_12	0.875
240m_AUC_I=800_13	0.875
240m_AUC_I=800_14	0.875
240m_AUC_I=800_15	1.0
240m_AUC_I=800_16	0.25
240m_AUC_I=800_17	0.625
240m_AUC_I=800_18	0.375
240m_AUC_I=800_19	0.625
240m_AUC_I=800_2	0.875
240m_AUC_I=800_20	0.375
240m_AUC_I=800_21	0.875
240m_AUC_I=800_3	0.25
240m_AUC_I=800_4	0.25
240m_AUC_I=800_5	0.75
240m_AUC_I=800_6	0.375
240m_AUC_I=800_7	0.875
240m_AUC_I=800_8	0.625
240m_AUC_I=800_9	0.625
240m_SS_I=100_1	0.75
240m_SS_I=100_10	0.75
